Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE
200,relu,8,Momentum,small_random,0,0.071357846,0.376495838
200,tanh,5,Momentum,small_random,0.0001,0.071566544,0.123344247
300,sigmoid,8,SGD,Xavier,0.001,0.071638122,0.093627914
100,sigmoid,5,Momentum,small_random,0,0.071722247,0.141591015
100,relu,11,Momentum,small_random,0.001,0.071858376,0.207267821
300,relu,5,Momentum,small_random,0,0.071908534,0.151861647
100,tanh,11,SGD,Xavier,0,0.07202217,0.25964584
200,tanh,8,Adam,small_random,0,0.072096363,0.141960337
100,tanh,11,SGD,Xavier,0.001,0.072490931,0.131703364
200,sigmoid,5,SGD,Xavier,0.001,0.072569318,0.072185897
200,sigmoid,11,Adam,small_random,0.001,0.072689958,0.116228781
200,relu,8,SGD,Xavier,0.001,0.072969712,0.165521928
100,sigmoid,5,Momentum,small_random,0.001,0.073027648,0.13585771
200,tanh,11,SGD,small_random,0.0001,0.073038012,0.089849041
100,tanh,11,Momentum,small_random,0.0001,0.073113322,0.17628753
300,relu,8,SGD,Xavier,0,0.073195271,0.117879719
300,sigmoid,5,SGD,Xavier,0.0001,0.073220856,0.173436061
100,relu,11,Momentum,small_random,0.0001,0.073233053,0.138944658
300,sigmoid,11,SGD,Xavier,0.001,0.073336221,0.155647916
200,relu,11,SGD,Xavier,0,0.07346268,0.287636558
200,tanh,8,SGD,Xavier,0.0001,0.073935531,0.144201254
200,sigmoid,5,SGD,Xavier,0.0001,0.073971964,0.193680937
300,relu,11,SGD,small_random,0.001,0.074299827,0.210941167
200,relu,5,SGD,Xavier,0.0001,0.074612513,0.228206283
200,tanh,11,Adam,small_random,0.001,0.074654393,0.102418729
300,relu,11,SGD,small_random,0.0001,0.075091951,0.107733266
300,relu,8,SGD,Xavier,0.001,0.075170271,0.076369298
100,tanh,5,Momentum,small_random,0.0001,0.075653061,0.200546687
300,tanh,8,SGD,small_random,0,0.075658411,0.212836538
200,tanh,8,Momentum,small_random,0.0001,0.075690575,0.198174026
